dataset,shot,method,log_count,csv_summary_count,strict_oh_r2_h2_log_count,strict_oh_r2_h2_csv_count,checkpoint_path_count,checkpoint_unique_sha_count,seed_status,split_status,status
fgvc,1,lora,7,12,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
food101,1,lora,7,6,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
food101,1,singlora,5,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
food101,1,ohsinglora,18,0,2,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,strict_r2_h2_evidence_available
food101,4,lora,7,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
food101,4,singlora,4,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
food101,4,ohsinglora,11,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,evidence_available_config_unclear_or_nonstandard
food101,16,lora,1,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
food101,16,singlora,2,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
food101,16,ohsinglora,6,4,0,0,12,8,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,evidence_available_config_unclear_or_nonstandard
oxford_pets,1,lora,7,6,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
oxford_pets,1,singlora,5,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
oxford_pets,1,ohsinglora,13,0,1,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,strict_r2_h2_evidence_available
oxford_pets,4,lora,7,0,0,0,3,3,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
oxford_pets,4,singlora,4,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
oxford_pets,4,ohsinglora,11,0,0,0,3,3,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,evidence_available_config_unclear_or_nonstandard
oxford_pets,16,lora,1,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
oxford_pets,16,singlora,2,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
oxford_pets,16,ohsinglora,6,4,0,0,8,6,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,evidence_available_config_unclear_or_nonstandard
oxford_flowers,1,lora,7,6,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
oxford_flowers,1,singlora,5,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
oxford_flowers,1,ohsinglora,13,0,1,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,strict_r2_h2_evidence_available
oxford_flowers,4,lora,7,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
oxford_flowers,4,singlora,4,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
oxford_flowers,4,ohsinglora,11,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,evidence_available_config_unclear_or_nonstandard
oxford_flowers,16,lora,1,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
oxford_flowers,16,singlora,2,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
oxford_flowers,16,ohsinglora,6,4,0,0,10,7,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,evidence_available_config_unclear_or_nonstandard
caltech101,1,lora,7,6,0,0,2,2,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
caltech101,1,singlora,5,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
caltech101,1,ohsinglora,29,11,2,0,4,4,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,strict_r2_h2_evidence_available
caltech101,4,lora,7,0,0,0,1,1,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
caltech101,4,singlora,7,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
caltech101,4,ohsinglora,22,11,0,0,2,2,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,evidence_available_config_unclear_or_nonstandard
caltech101,16,lora,1,0,0,0,1,1,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
caltech101,16,singlora,2,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
caltech101,16,ohsinglora,17,15,0,0,24,15,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,evidence_available_config_unclear_or_nonstandard
dtd,1,lora,7,6,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
dtd,1,singlora,5,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
dtd,1,ohsinglora,18,0,2,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,strict_r2_h2_evidence_available
dtd,4,lora,7,0,0,0,3,3,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
dtd,4,singlora,5,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
dtd,4,ohsinglora,11,0,0,0,3,3,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,evidence_available_config_unclear_or_nonstandard
dtd,16,lora,1,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
dtd,16,singlora,3,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
dtd,16,ohsinglora,6,4,0,0,19,12,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,evidence_available_config_unclear_or_nonstandard
ucf101,1,lora,7,6,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
ucf101,1,singlora,5,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
ucf101,1,ohsinglora,18,0,2,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,strict_r2_h2_evidence_available
ucf101,4,lora,7,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
ucf101,4,singlora,4,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
ucf101,4,ohsinglora,10,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,evidence_available_config_unclear_or_nonstandard
ucf101,16,lora,1,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
ucf101,16,singlora,2,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
ucf101,16,ohsinglora,6,4,0,0,6,5,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,evidence_available_config_unclear_or_nonstandard
